FID;gid;wpl_id;gem_id;prov_id;pc6;woonplaats;wplnaam_un;gemeente;provincie;vlakken
299;440804;1070;0014;20;9713BH;Groningen;Groningen;Groningen;Groningen;1
301;440805;1070;0014;20;9713BJ;Groningen;Groningen;Groningen;Groningen;1
311;440889;1070;0014;20;9713HT;Groningen;Groningen;Groningen;Groningen;1
313;440806;1070;0014;20;9713BK;Groningen;Groningen;Groningen;Groningen;1
316;440807;1070;0014;20;9713BL;Groningen;Groningen;Groningen;Groningen;1
322;440903;1070;0014;20;9713JN;Groningen;Groningen;Groningen;Groningen;2
353;440808;1070;0014;20;9713BM;Groningen;Groningen;Groningen;Groningen;1
474;440809;1070;0014;20;9713BN;Groningen;Groningen;Groningen;Groningen;1
483;440810;1070;0014;20;9713BP;Groningen;Groningen;Groningen;Groningen;1
612;440820;1070;0014;20;9713CD;Groningen;Groningen;Groningen;Groningen;1
629;440821;1070;0014;20;9713CE;Groningen;Groningen;Groningen;Groningen;2
757;440822;1070;0014;20;9713CG;Groningen;Groningen;Groningen;Groningen;1
1374;441008;1070;0014;20;9713RH;Groningen;Groningen;Groningen;Groningen;2
4273;440823;1070;0014;20;9713CH;Groningen;Groningen;Groningen;Groningen;1
4275;440824;1070;0014;20;9713CJ;Groningen;Groningen;Groningen;Groningen;1
5783;440917;1070;0014;20;9713KH;Groningen;Groningen;Groningen;Groningen;1
6032;440918;1070;0014;20;9713KJ;Groningen;Groningen;Groningen;Groningen;1
6070;440919;1070;0014;20;9713KK;Groningen;Groningen;Groningen;Groningen;1
6258;440920;1070;0014;20;9713KL;Groningen;Groningen;Groningen;Groningen;1
6579;440921;1070;0014;20;9713KM;Groningen;Groningen;Groningen;Groningen;1
6580;440922;1070;0014;20;9713KN;Groningen;Groningen;Groningen;Groningen;1
6641;441042;1070;0014;20;9713TG;Groningen;Groningen;Groningen;Groningen;1
6648;441043;1070;0014;20;9713TH;Groningen;Groningen;Groningen;Groningen;1
6695;441044;1070;0014;20;9713TJ;Groningen;Groningen;Groningen;Groningen;1
6729;441045;1070;0014;20;9713TK;Groningen;Groningen;Groningen;Groningen;1
7183;441046;1070;0014;20;9713TL;Groningen;Groningen;Groningen;Groningen;1
7364;441047;1070;0014;20;9713TM;Groningen;Groningen;Groningen;Groningen;1
7388;441107;1070;0014;20;9713ZE;Groningen;Groningen;Groningen;Groningen;1
7399;441108;1070;0014;20;9713ZG;Groningen;Groningen;Groningen;Groningen;1
